,genres,averagerating,numvotes
64459,Thriller,5.4,13152
115691,Documentary,6.2,32
36286,Comedy,7.1,132
5340,Drama,6.4,1502
44000,Drama,6.7,16
65282,News,8.6,28
73546,Adventure,6.3,9024
124666,Crime,6.1,24
116058,Drama,7.8,48
25137,Thriller,6.4,43
34219,Documentary,6.9,8
92256,Mystery,6.6,350
44845,Action,4.4,2267
59786,Action,5.2,60
121597,Drama,7.7,7
35670,Comedy,5.6,98
84983,Comedy,7.9,46481
101945,Biography,7.0,392
121425,Drama,9.1,26
5502,Fantasy,4.5,703
78500,Family,4.3,69
82879,Drama,7.3,645
24704,Sci-Fi,4.8,5
66099,Animation,5.8,31
109123,Thriller,5.4,11
46614,Action,6.5,661
113769,Horror,4.2,139
9507,Romance,4.8,316
95517,Documentary,7.1,986
41536,Crime,7.3,14
29846,Animation,8.4,24
64321,Thriller,4.5,540
52744,Comedy,6.7,16
110442,Thriller,5.1,107
8334,Comedy,5.1,101
28767,Comedy,7.2,20
79826,Romance,8.2,22
107805,Documentary,8.6,17
27731,Comedy,5.5,16
81647,Documentary,8.5,22
111992,Drama,8.6,311
18356,Horror,5.4,2876
99434,Biography,7.4,7
68672,Drama,6.8,255
90223,Thriller,2.4,7
48618,Thriller,7.5,16
46296,Drama,3.4,86
111059,Comedy,6.1,56
48192,Action,2.5,1798
44991,Comedy,7.2,6209
63814,Thriller,7.4,12071
116288,Comedy,5.2,11
99107,Documentary,6.9,36
53710,Mystery,4.4,140
4717,Romance,7.2,844
98011,Drama,6.4,14
61494,Comedy,6.2,16
24797,Thriller,7.5,63
127089,Documentary,8.7,6
129274,War,7.3,12
333,Drama,6.8,156266
128101,Comedy,4.4,12
13603,Documentary,6.4,16
84655,Action,4.3,356
74185,Documentary,8.7,6
28914,Thriller,5.0,42
86222,Documentary,8.3,7
79305,Romance,5.8,40
1890,Documentary,7.6,12
127082,Thriller,7.7,734
10123,Drama,7.2,24426
21128,Thriller,4.3,976
3172,Thriller,2.9,288
15019,Romance,6.3,21
128811,Drama,6.8,61
17764,History,8.9,10
86793,Romance,7.2,2912
36647,Mystery,7.3,22
9932,Comedy,5.0,99
33732,Documentary,7.0,12
48294,Action,7.8,40
73660,Drama,6.0,5911
51554,Documentary,5.0,5
83686,Comedy,6.0,138
125198,Comedy,5.7,61
28117,Sci-Fi,6.1,605
84565,Drama,5.3,195
111832,Documentary,7.6,27
50343,Documentary,6.1,8
15704,Adventure,8.5,6
55800,Drama,6.0,29
93938,Crime,6.0,7
63359,Drama,6.4,5
54052,Biography,7.3,10
126600,Documentary,6.8,9
27412,Comedy,4.1,685
46594,Documentary,8.2,8
43438,Drama,6.8,523
4652,Thriller,5.3,14049
106704,Thriller,6.3,511
